district,rooms,size,level,max_levels,price,lat,lng
Yunusobod,4,83.0,3,5,54000,41.3825869,69.3019081
Uchtepa,2,49.0,4,4,23000,41.2978921,69.1804708
Chilonzor,2,46.0,2,4,38500,41.2894422,69.2058023
Chilonzor,2,46.0,4,4,36200,41.2894422,69.2058023
Chilonzor,3,68.0,4,4,45000,41.259418,69.1804708
Chilonzor,3,65.0,1,5,45000,41.2901628,69.1968618
Chilonzor,4,76.0,4,4,43000,41.2901628,69.1968618
Chilonzor,1,42.0,2,5,26000,41.2901628,69.1968618
Chilonzor,2,55.0,1,4,67000,41.2901628,69.1968618
Chilonzor,4,76.0,5,5,45500,41.2901628,69.1968618
Chilonzor,2,49.0,2,6,47000,41.2829494,69.1968618
Chilonzor,4,80.0,2,4,70000,41.2829494,69.1968618
Chilonzor,5,142.0,5,5,120000,41.2829494,69.1968618
Chilonzor,3,60.0,3,4,44000,41.2948119,69.2087824
Mirzo Ulugbek,3,72.0,4,5,47000,41.322142,69.303611
Mirobod,4,115.0,6,9,84000,41.2846588,69.2743143
Yashnobod,4,100.0,2,3,77000,41.3701094,69.2660649
Mirzo Ulugbek,2,63.0,5,5,35000,41.3375577,69.3726789
Mirzo Ulugbek,3,66.0,3,5,56000,41.3317732,69.324458
Mirzo Ulugbek,3,70.0,5,5,46500,41.322142,69.303611
Mirzo Ulugbek,3,62.0,5,5,35000,41.3215876,69.3230626
Chilonzor,2,50.0,1,4,34000,41.271386,69.1961168
Yunusobod,3,78.0,4,4,56000,41.3298867,69.2803036
Mirobod,2,62.0,2,9,63000,41.295316,69.275364
Mirobod,8,350.0,2,12,260000,41.2910722,69.2769129
Yashnobod,3,63.0,4,4,40000,41.2896055,69.3434849
Mirzo Ulugbek,4,91.0,1,5,75000,41.3326551,69.3689542
Shayhontohur,3,81.0,6,9,54900,41.3141622,69.2368973
Mirzo Ulugbek,4,86.0,3,4,42000,41.3550649,69.3585936
Mirzo Ulugbek,2,54.0,3,5,54500,41.322142,69.303611
Mirobod,3,90.0,3,5,105000,41.2846588,69.2743143
Mirzo Ulugbek,2,40.0,2,5,37000,41.314662,69.293391
Yunusobod,1,45.0,5,5,24000,41.3804352,69.2840285
Olmzor,3,89.55,7,9,40000,41.2901478,69.2827199
Mirzo Ulugbek,4,92.0,3,5,67000,41.3375577,69.3726789
Mirzo Ulugbek,4,95.0,1,4,77000,41.3550649,69.3585936
Mirzo Ulugbek,4,102.0,4,9,65000,41.3292204,69.3473509
Olmzor,2,65.0,5,9,31300,41.3597078,69.2094809
Mirzo Ulugbek,2,62.0,5,5,33500,41.314662,69.293391
Olmzor,2,56.0,3,5,38500,41.3668928,69.2087824
Mirzo Ulugbek,2,59.0,2,8,41500,41.3169199,69.3279791
Chilonzor,3,96.0,6,9,64500,41.2710841,69.1849411
Yashnobod,1,37.0,4,8,13075,41.2785565,69.3415733
Yakkasaroy,2,70.0,8,9,48000,41.2773019,69.2473656
Mirobod,2,78.0,4,8,77000,41.296644,69.275878
Yakkasaroy,4,145.0,7,8,115000,41.2986859,69.2595082
Mirzo Ulugbek,3,100.0,2,5,128000,41.3104865,69.2922234
Yashnobod,2,54.0,4,4,33000,41.286283,69.3235123
Mirobod,3,70.0,2,4,66000,41.296644,69.275878
Yakkasaroy,5,116.0,3,5,80000,41.2673079,69.2415634
Chilonzor,3,72.0,8,9,37700,41.2657122,69.1819609
Shayhontohur,1,70.0,6,7,60000,41.3221852,69.2616787
Mirzo Ulugbek,2,60.0,9,9,28500,41.3542045,69.3845977
Chilonzor,2,52.0,4,5,38000,41.2857552,69.2117625
Yakkasaroy,3,95.0,7,8,65000,41.2911414,69.2601933
Chilonzor,2,44.0,1,4,38000,41.2857552,69.2117625
Chilonzor,2,42.0,3,4,36500,41.2857552,69.2117625
Chilonzor,2,43.0,2,4,36500,41.2857552,69.2117625
Chilonzor,3,77.0,5,5,95000,41.2857552,69.2117625
Chilonzor,1,24.0,3,4,20000,41.2948119,69.2087824
Chilonzor,1,30.0,1,4,26000,41.2948119,69.2087824
Chilonzor,2,41.0,1,4,36000,41.2948119,69.2087824
Yunusobod,2,46.0,2,4,36000,41.3197131,69.2773236
Chilonzor,2,42.0,2,4,36500,41.2948119,69.2087824
Yunusobod,2,51.0,3,4,45000,41.3700057,69.2892434
Uchtepa,3,62.0,5,5,33500,41.2814223,69.1760005
Yashnobod,1,50.0,5,12,25000,41.2896055,69.3434849
Yunusobod,4,107.0,6,9,75500,41.3587493,69.2996732
Yunusobod,5,255.0,1,8,270000,41.3245206,69.2773236
Yunusobod,6,266.0,1,8,285000,41.3245206,69.2773236
Olmzor,1,38.0,6,9,27500,41.3597078,69.2094809
Yakkasaroy,4,210.0,4,8,265000,41.2834892,69.2665263
Yakkasaroy,4,110.0,7,9,75000,41.2697288,69.2512486
Olmzor,2,55.62,5,9,31000,41.3668928,69.2087824
Sergeli,2,66.0,8,9,31507,41.2115569,69.2266631
Yakkasaroy,2,53.0,3,5,54000,41.2911414,69.2601933
Olmzor,4,119.0,2,5,110000,41.3390184,69.2261213
Mirzo Ulugbek,2,56.0,1,4,35000,41.339688,69.340163
Mirzo Ulugbek,3,68.0,4,4,24000,41.3869298,69.4635568
Mirobod,3,125.0,7,12,129999,41.2758912,69.2937133
Yakkasaroy,4,140.0,8,10,105000,41.2784172,69.2711001
Yakkasaroy,4,141.0,7,7,95000,41.3379184,69.3898602
Uchtepa,4,74.0,4,4,47500,41.2770171,69.1909015
Mirzo Ulugbek,2,63.0,5,5,34997,41.3375577,69.3726789
Uchtepa,2,41.0,4,4,32000,41.2770171,69.1909015
Mirobod,2,52.0,3,5,37000,41.3112812,69.2429048
Chilonzor,3,68.0,3,4,39000,41.259418,69.1804708
Mirobod,4,110.0,1,4,63500,41.3112812,69.2429048
Mirzo Ulugbek,2,60.0,6,9,35500,41.3427418,69.3875774
Chilonzor,1,54.0,9,9,35000,41.259418,69.1804708
Mirzo Ulugbek,2,60.0,5,5,35000,41.3292204,69.3473509
Chilonzor,2,46.0,3,4,37500,41.2901628,69.1968618
Chilonzor,4,94.0,4,5,73000,41.2894422,69.2058023
Chilonzor,2,58.0,1,9,40000,41.2948119,69.2087824
Mirzo Ulugbek,4,92.0,3,5,62000,41.3318205,69.3644846
Chilonzor,3,70.0,3,4,55000,41.2916859,69.2177228
Chilonzor,2,42.0,4,4,37400,41.2807837,69.223683
Chilonzor,2,42.0,4,4,35800,41.2807837,69.223683
Chilonzor,2,75.0,4,12,60000,41.2753331,69.2052868
Yunusobod,3,72.0,1,9,100000,41.3616967,69.2817965
Uchtepa,3,85.0,7,9,52500,41.3059159,69.1601855
Yunusobod,2,65.0,5,9,44000,41.3653679,69.2773236
Chilonzor,2,65.0,9,9,56600,41.2573956,69.1959189
Chilonzor,2,46.0,3,4,42000,41.2948119,69.2087824
Mirzo Ulugbek,2,60.94,9,9,36542,41.3292204,69.3473509
Mirobod,4,165.0,1,8,264999,41.2788072,69.3057451
Mirobod,4,215.0,5,8,259999,41.2759614,69.2953473
Yashnobod,2,59.0,4,4,26500,41.2671043,69.3139155
Mirzo Ulugbek,2,66.82,5,7,65000,41.3146381,69.3228615
Chilonzor,5,98.0,5,9,70000,41.2773103,69.2152083
Mirzo Ulugbek,2,48.0,1,4,34499,41.3550649,69.3585936
Uchtepa,3,92.0,8,9,46000,41.3112269,69.2701272
Mirobod,4,128.0,1,7,87000,41.2758912,69.2937133
Mirobod,2,56.0,2,5,37500,41.2824708,69.2287251
Yashnobod,1,45.0,1,5,36500,41.3017691,69.2441976
Chilonzor,3,70.0,2,4,48000,41.3112269,69.2701272
Uchtepa,2,56.0,2,5,37500,41.2847707,69.2288981
Mirzo Ulugbek,4,95.0,1,5,78000,41.3292204,69.3473509
Mirobod,2,100.0,8,9,150000,41.3093806,69.2675864
Mirzo Ulugbek,4,97.0,5,5,80000,41.3292204,69.3473509
Mirzo Ulugbek,4,130.0,4,9,98500,41.3317732,69.324458
Yunusobod,3,67.0,4,4,42000,41.3653679,69.2773236
Mirzo Ulugbek,4,95.0,5,5,50000,41.3427418,69.3875774
Yunusobod,2,62.0,4,9,55000,41.3197131,69.2773236
Yakkasaroy,3,75.0,10,16,70000,41.2801633,69.2569758
Yakkasaroy,3,70.0,6,6,81999,41.2911414,69.2601933
Yashnobod,2,59.0,2,7,22534,41.294821,69.3659745
Yunusobod,2,55.0,1,9,43000,41.3700057,69.2892434
Yunusobod,2,59.0,5,5,37000,41.3671612,69.2724811
